Ligand;SMILES
1bxo/active_3.mol;CCOC(=O)C[C@@H]([C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C)CC(C)C)O
1bxo/active_4.mol;COC(=O)[C@@H](O[P@](=O)([C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OCc1ccccc1)C)C)CC(C)C)[O])Cc1ccccc1
1bxo/active_5.mol;CCOC(=O)C[P@](=O)([C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C)CC(C)C)[O]
1c4v/active_1.mol;O=C(N[C@@H](C(=O)N1CCCCC1)Cc1ccc(cc1)C([NH3])[NH3])CNS(=O)(=O)c1ccc2c(c1)cccc2
1c4v/active_10.mol;O/N=C(\N1CC[C@H](CC1)CNC(=O)[C@@H]1CC[C@@H]2N1C(=O)CN(C2)S(=O)(=O)Cc1ccccc1)/N
1c4v/active_11.mol;[NH3][C@@H]1CC[C@H](CC1)CNC(=O)[C@@H]1C=CCn2n1c(=O)n(c2=O)CCS(=O)(=O)c1ccccc1
1c4v/active_12.mol;O=C([C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2])N)N1CCCCCC1
1c4v/active_13.mol;CCCCOC(=O)[C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2])N
1c4v/active_14.mol;O=C(Cn1c(C)cnc(c1=O)NCCc1ccccc1)NCC1=C(C)NC(=CC1)N
1c4v/active_15.mol;N[C@H]1NC=C(N1)[C@@H]1CC[C@@H](CC1)NC(=O)[C@@H]1C=CCn2n1c(=O)n(c2=O)CCS(=O)(=O)c1ccccc1
1c4v/active_16.mol;C[C@@H]1CCN(CC1)C(=O)[C@@H](NS(=O)(=O)c1ccc2c(c1)C(=O)c1c(C2=O)cccc1)Cc1cccc(c1)C(=[NH2])N
1c4v/active_17.mol;Oc1ccc2c(c1)sc(c2Cc1ccc(cc1)OCC[NH]1CCCC1)c1ccc(nc1)OCC[NH]1CCCC1
1c4v/active_18.mol;NC(=[NH2])c1cccc(c1)C[C@@H](C(=O)N1CCCc2c1cccc2)NS(=O)(=O)c1ccc2c(c1)cccc2
1c4v/active_19.mol;COC(=O)[C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2])N
1c4v/active_2.mol;Cc1ccc(cc1)S(=O)(=O)N[C@H](C(=O)N1CCCCC1)Cc1ccc(cc1)C([NH3])[NH3]
1c4v/active_20.mol;C[C@@H]1CCN(CC1)C(=O)[C@@H](NS(=O)(=O)c1cccc2c1nccc2)Cc1cccc(c1)C(=[NH2])N
1c4v/active_21.mol;O=C([C@@H](NS(=O)(=O)c1ccc2c(c1)CCC(O2)(C)C)Cc1cccc(c1)C(=[NH2])N)N1CCN(CC1)S(=O)(=O)C
1c4v/active_22.mol;O=C([C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2])N)OCc1ccccc1
1c4v/active_23.mol;O=C(N1Cc2ccccc2C[C@@H]1C(=O)OCc1ccccc1)[C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2])N
1c4v/active_24.mol;O=C([C@@H]1C=CCn2n1c(=O)n(c2=O)CCS(=O)(=O)c1ccccc1)N[C@@H]1CC[C@@H](CC1)c1c[nH]c(n1)N
1c4v/active_25.mol;O=C(c1cc2c([nH]1)ccc(c2)C(=[NH2])N)N1CCC(CC1)Cc1ccccc1
1c4v/active_26.mol;CCCCNC(=O)[C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2])N
1c4v/active_27.mol;O=C([C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2])N)N1CCCCCCC1
1c4v/active_28.mol;CCOC(=O)CCN(C(=O)c1ccc2c(c1)nc(n2C)CNc1ccc(cc1)C(=[NH2])N)c1ccccn1
1c4v/active_29.mol;CC[C@@H]1CCN(CC1)C(=O)[C@@H](NS(=O)(=O)c1cccc2c1cccc2N(C)C)CCCNC(=[NH2])N
1c4v/active_3.mol;NC(=[NH2])NCCC[C@H](C(=O)c1nc2c(s1)cccc2)NC(=O)[C@H]1CCN2N1C(=O)[C@](CC2)([NH3])Cc1ccccc1
1c4v/active_30.mol;C[C@@H]1CCN(CC1)C(=O)[C@@H](NS(=O)(=O)C[C@]12CC[C@@H](C2(C)C)CC1=O)Cc1cccc(c1)C(=[NH2])N
1c4v/active_31.mol;[O]C(=O)[C@H]1CCCCN1C(=O)[C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2])N
1c4v/active_32.mol;CC(OC(=O)[C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2])N)C
1c4v/active_33.mol;O=CN1CCN(CC1)C(=O)[C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2])N
1c4v/active_34.mol;C[C@@H]1CCN(CC1)C(=O)[C@@H](NS(=O)(=O)c1ccc2c(c1)CCC(O2)(C)C)Cc1cccc(c1)C(=[NH2])N
1c4v/active_35.mol;Cc1ccc(cc1)S(=O)(=O)N[C@H](C(=O)N1CCCCC1)Cc1cccc(c1)C(=[NH2])N
1c4v/active_36.mol;O=C([C@@H]1C=CCn2n1c(=O)n(c2=O)CCS(=O)(=O)c1ccccc1)N[C@@H]1CC[C@@H](CC1)c1c[nH]c(n1)N
1c4v/active_37.mol;Cc1cc(OCC2CCN(CC2)C(=[NH2])N)cc(c1)OS(=O)(=O)c1ccccc1Cl
1c4v/active_38.mol;O=C([C@@H](NS(=O)(=O)c1ccc(cc1)C(C)(C)C)Cc1cccc(c1)C(=[NH2])N)N1CCN(CC1)S(=O)(=O)C
1c4v/active_39.mol;COC(=O)[C@H]1Cc2ccccc2CN1C(=O)[C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2])N
1c4v/active_4.mol;C[C@@H]1C[C@@H](C(=O)NC[C@H]2CCC(=CC2)C(=[NH2])N)n2n(C1)c(=O)n(c2=O)CC(c1ccccc1)c1ccccc1
1c4v/active_40.mol;COC(=O)[C@@H]1CCCN1C(=O)[C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2])N
1c4v/active_5.mol;Cc1cc(OCCN[C@@H]2C=CNC=C2)cc(c1)NS(=O)(=O)c1ccccc1
1c4v/active_6.mol;NC(=[NH2])NCCCNC(=O)[C@@H]1CCCCN1C(=O)[C@@H](CC1CCCCC1)[NH2]CC(=O)O
1c4v/active_7.mol;O=C(N1CC[C@H]2[C@H]1CCCC2)[C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2])N
1c4v/active_8.mol;[NH3][C@@H]1CC[C@H](CC1)CNC(=O)Cn1c(C)ccc(c1=O)NS(=O)(=O)Cc1ccccc1
1c4v/active_9.mol;OC[C@H](CC1=CN(C=CC1)C)NC(=O)[C@H](C1CCCCC1)NC(=O)[C@H](Cc1ccc(cc1)C(=[NH2])N)NC(=O)C
1c84/active_1.mol;CNC(=O)[C@@H]1Cc2ccc(cc2CN1C(=O)CCc1cccc(c1)C(=O)[O])NS(=O)(=O)O
1c84/active_10.mol;[O]C(=O)C(=O)Nc1sc2c(c1C(=O)[O])CCO[C@H]2COC1=NS(=O)(=O)c2c1cccc2
1c84/active_11.mol;COC(=O)C(C(=O)OC)(Cc1ccccc1)Cc1ccc(cc1)NS(=O)(=O)O
1c84/active_12.mol;FC(P(=O)(O)O)(c1ccc(cc1)CCCCc1ccc(cc1)C(P(=O)(O)O)(F)F)F
1c84/active_13.mol;Fc1ccc(cc1F)C(n1nnc2c1cccc2)(Cc1ccc(cc1)C(P(=O)(O)O)(F)F)Cc1ccc(cc1)C(P(=O)(O)O)(F)F
1c84/active_14.mol;CCCCCNC(=O)[C@H](Cc1ccc(cc1)OC(C(=O)[O])C(=O)[O])NC(=O)N[C@H](C(=O)[O])Cc1ccccc1
1c84/active_15.mol;[O]C(=O)c1ccc2c(c1)ccc(c2)C(P(=O)([O])[O])(F)F
1c84/active_16.mol;CNC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)[O])NC(=O)OC(C)(C)C)Cc1ccc(cc1)NS(=O)(=O)O
1c84/active_17.mol;O=C1C[C@H](S(=O)(=O)N1)c1ccc(cc1)C[C@@H](c1nc2c([nH]1)ccc(c2)C(F)(F)F)NC(=O)C(F)(F)F
1c84/active_18.mol;OC[C@@H](C(=O)NCCc1ccc(cc1)NC(=O)C(=O)[O])NC(=O)CCNC(=O)[CH2].Br.[H]
1c84/active_19.mol;[O]C(=O)COc1[c]c(sc1C(=O)[O])c1cccc(c1)NC1CCCCC1.Br.[H]
1c84/active_2.mol;Cc1onc(n1)C(c1noc(n1)C)(Cc1ccccc1)Cc1ccc(cc1)NS(=O)(=O)O
1c84/active_20.mol;CCc1ccc(cc1)NS(=O)(=O)O
1c84/active_3.mol;COC(=O)c1ccc(cc1)[C@](n1nnc2c1cccc2)(Cc1ccc(cc1)C(P(=O)(O)O)(F)F)C/C=C/c1ccccc1
1c84/active_4.mol;COC(=O)c1c(OC/C=C/c2cccc(c2)c2onc(c2CO)C(=O)[O])cccc1[O]
1c84/active_5.mol;CCCCCN[C@@H]([C@H](Cc1ccc(c(c1)C(=O)[O])OCC(=O)[O])N[C@H]([C@H](Cc1ccccc1)N[C@H](OC(C)(C)C)O)O)O
1c84/active_6.mol;CCCCCNC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCC(=O)[O])Cc1ccc(c(c1)C(=O)[O])OCC(=O)[O]
1c84/active_7.mol;CCOC(=O)C(C(=O)OCC)(Cc1ccc(cc1)NS(=O)(=O)O)CCNC(=O)OC(C)(C)C
1c84/active_8.mol;[O]C(=O)CC[C@@H](C(=O)N)NC(=O)c1ccc2c(c1)ccc(c2)C(P(=O)([O])[O])(F)F
1c84/active_9.mol;COC(=O)c1c(OC/C=C/c2ccc(c(c2)c2onc(c2)C(=O)[O])F)cccc1[O]
1cx2/active_1.mol;Clc1ccc(cc1)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)c1ccc(s1)Cl
1cx2/active_10.mol;CS[C@@H]1C=C[C@@H](C=C1)[CH]C1=C2C=CC(=C[C@H]2C(=C1C)CC(=O)[C@@H]1[C]([O])COC1=O)F
1cx2/active_11.mol;Fc1ccc(cc1)c1c(nn(c1C(F)(F)F)Cc1ccccc1)c1ccc(cc1)S(=O)(=O)C
1cx2/active_12.mol;CSc1ccc(cc1Cl)[C@H]1NC(=CN1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F
1cx2/active_13.mol;CN(c1ccc(cc1F)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F)C
1cx2/active_14.mol;FC(c1nn(c(c1)c1nc2c(s1)c(F)ccc2)c1ccc(cc1)S(=O)(=O)N)F
1cx2/active_15.mol;Clc1ccccc1C1=N[C@@H]([C@H](S1)c1ccc(cc1)S(=O)(=O)C)c1cccs1
1cx2/active_16.mol;Fc1cc(c2ccc(c(c2)Cl)N(C)C)c(cc1F)c1ccc(cc1)S(=O)(=O)N
1cx2/active_17.mol;CSc1ccc(cc1Cl)c1nc(cn1c1ccc(cc1)S(=O)(=O)C)C(F)(F)F
1cx2/active_18.mol;FC(c1cc(n(n1)c1ccc(cc1)S(=O)(=O)N)c1ccc2c(c1)CCCS2)(F)F
1cx2/active_19.mol;Fc1ccccc1c1nc(sc1c1ccc(cc1)S(=O)(=O)C)c1ccccc1Cl
1cx2/active_2.mol;COC1(CCOCC1)c1ccc(cc1F)OCc1nc(c(o1)c1ccc(cc1)S(=O)(=O)C)c1ccc(cc1)F
1cx2/active_20.mol;CSc1ccc(cc1Cl)c1nc(cn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F
1cx2/active_21.mol;CSc1ccc(cc1Cl)[C@@H]1NC(=CN1c1ccc(cc1)S(=O)(=O)C)C(F)(F)F
1cx2/active_22.mol;Fc1ccc(cc1)c1nc(sc1c1ccc(cc1)S(=O)(=O)C)c1ccccc1Cl
1cx2/active_23.mol;Clc1ccccc1C1=N[C@@H]([C@H](S1)c1ccc(cc1)S(=O)(=O)C)c1cscc1
1cx2/active_24.mol;CSc1ccc(cc1)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F
1cx2/active_25.mol;CN(c1ccc(cc1)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F)C
1cx2/active_26.mol;Brc1ccc(cc1)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F
1cx2/active_27.mol;FC(c1nn(c(c1)c1ccc2c(c1)CCC2)c1ccc(cc1)S(=O)(=O)N)(F)F
1cx2/active_28.mol;COc1ccc(cc1)c1sc(nc1c1ccc(cc1)S(=O)(=O)C)c1ccccc1Cl
1cx2/active_29.mol;CNc1ccc(cc1Cl)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F
1cx2/active_3.mol;COc1cccc(c1)SCc1cc(n(n1)c1ccc(cc1)S(=O)(=O)C)c1ccc(cc1)Cl
1cx2/active_30.mol;CCOc1ccc(cc1)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F
1cx2/active_31.mol;Fc1cc(c2ccc3c(c2)OCCO3)c(cc1F)c1ccc(cc1)S(=O)(=O)C
1cx2/active_32.mol;CN(c1ccc(cc1Cl)c1nc(cn1c1ccc(cc1)S(=O)(=O)C)C(F)(F)F)C
1cx2/active_33.mol;FC(c1cn(c(n1)c1cnc2c(c1)cccc2)c1ccc(cc1)S(=O)(=O)C)(F)F
1cx2/active_34.mol;FC(c1nn(c(c1)c1csc2c1cccc2)c1ccc(cc1)S(=O)(=O)N)(F)F
1cx2/active_35.mol;Cc1ccc(cc1Cl)c1nc(cn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F
1cx2/active_36.mol;Brc1ccc(cc1)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F
1cx2/active_37.mol;Clc1ccc(cc1Cl)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F
1cx2/active_38.mol;Fc1cc(c2ccc3c(c2)OCCO3)c(cc1F)c1ccc(cc1)S(=O)(=O)N
1cx2/active_39.mol;Brc1ccc(cc1)c1cc(nn1c1ccc(cc1)S(=O)(=O)C)C(F)(F)F
1cx2/active_4.mol;COC1(CCOCC1)c1ccc(cc1F)OCc1cc(n(n1)c1ccc(cc1)S(=O)(=O)C)c1ccc(cc1)Cl
1cx2/active_40.mol;COc1c(C)cc(cc1Cl)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F
1cx2/active_41.mol;Cc1ccc(cc1Cl)[C@H]1NC(=CN1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F
1cx2/active_42.mol;CNc1ccc(cc1)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F
1cx2/active_43.mol;Fc1cc(c2ccc(c(c2)Cl)C)c(cc1F)c1ccc(cc1)S(=O)(=O)N
1cx2/active_44.mol;Fc1ccc(cc1)c1nc(sc1c1ccc(cc1)S(=O)(=O)N)c1ccccc1Cl
1cx2/active_45.mol;Fc1cc(c2ccc(c(c2)Cl)N(C)C)c(cc1F)c1ccc(cc1)S(=O)(=O)C
1cx2/active_46.mol;CCc1ccc(cc1)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F
1cx2/active_47.mol;COc1ccc(cc1F)c1nc(cn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F
1cx2/active_48.mol;CSc1ccc(cc1)[C@H]1NC(=CN1c1ccc(cc1)S(=O)(=O)C)C(F)(F)F
1cx2/active_49.mol;Cc1cccc(c1)c1c(sc2n1nc(n2)C(F)(F)F)c1ccc(cc1)S(=O)(=O)C
1cx2/active_5.mol;CS[C@@H]1C=C[C@@H](C=C1)[CH]C1=C2C=CC(=C[C@H]2C(=C1C)C/C(=C/1\[C]([O])COC1=O)/O)F
1cx2/active_50.mol;FC(C1=CN([C@H](N1)c1cnc2c(c1)cccc2)c1ccc(cc1)S(=O)(=O)C)(F)F
1cx2/active_6.mol;COc1ccc(cc1)c1sc(nc1c1ccc(cc1)SC)c1ccccc1Cl
1cx2/active_7.mol;CS[C@@H]1C=C[C@@H](C=C1)[CH]C1=C2C=CC(=C[C@H]2C(=C1C)C/C(=C\1/[C]([O])COC1=O)/O)F
1cx2/active_8.mol;Fc1ccc(c(c1)F)c1nc(sc1c1ccc(cc1)S(=O)(=O)C)c1ccccc1Cl
1cx2/active_9.mol;CS[C@@H]1C=C[C@@H](C=C1)[CH]C1=C2C=CC(=C[C@H]2C(=C1C)CC(=O)C1=C(O)COC1=O)F
1efy/active_1.mol;O=C1NCCn2c3c1cccc3cc2c1ccc(cc1)CCc1ccccc1
1efy/active_10.mol;O=C1NCCn2c3c1cccc3cc2c1ccccc1
1efy/active_2.mol;C[NH2]Cc1ccc(cc1)c1cc2c3n1CCNC(=O)c3ccc2
1efy/active_3.mol;C[NH](Cc1cccc(c1)c1cc2c3n1CCNC(=O)c3ccc2)C
1efy/active_4.mol;N#Cc1c(c2ccc(cc2)F)n2c3c1cccc3C(=O)NCC2
1efy/active_5.mol;O[C@@H](c1cn2c3c1cccc3C(=O)NCC2)c1ccccc1
1efy/active_6.mol;C[NH2]Cc1cccc(c1)c1cc2c3n1CCNC(=O)c3ccc2
1efy/active_7.mol;Clc1ccc(cc1)c1cc2c3n1CCNC(=O)c3ccc2
1efy/active_8.mol;Fc1ccc(cc1)c1cc2c3n1CCNC(=O)c3ccc2
1efy/active_9.mol;C[NH](Cc1ccc(cc1)c1cc2c3n1CCNC(=O)c3ccc2)C
1eix/active_1.mol;O[C@@H]1[C@H](O)[C@H](O[C@H]1n1c(O)cc(=O)[nH]c1=O)COP(=O)([O])[O]
1eix/active_10.mol;OCc1cc(=O)[nH]c(=O)n1[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O
1eix/active_11.mol;O[C@@H]1[C@H](O)[C@H](O[C@H]1n1ncc(=O)[nH]c1=O)COP(=O)([O])[O]
1eix/active_12.mol;O=c1[nH]c(=O)c2c([nH]1)n(cn2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O
1eix/active_13.mol;O=C1CC(=O)N(C(=O)N1)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O
1eix/active_14.mol;O[C@@H]1[C@H](O)[C@H](O[C@H]1n1ccc(=O)[nH]c1=O)COP(=O)(O)O
1eix/active_15.mol;O[C@@H]1[C@H](O)[C@H](O[C@H]1n1ccc(nc1=O)N)COP(=O)(O)O
1eix/active_16.mol;O[C@H]1C[C@@H](O[C@@H]1COP(=O)(O)O)n1ccc(=O)[nH]c1=O
1eix/active_17.mol;O[C@@H]1[C@H](O)[C@H](O[C@@H]1n1c(=O)[nH]c(=O)cc1C(=O)[O])COP(=O)(O)O
1eix/active_18.mol;O[C@H]1C[C@@H](O[C@@H]1COP(=O)(O)O)n1cc(I)c(=O)[nH]c1=O
1eix/active_2.mol;O[C@@H]1[C@H](O)[C@H](O[C@H]1n1c(O)cc(=O)[nH]c1=O)COP(=O)([O])[O]
1eix/active_3.mol;O=C1[CH]C(=O)N(C(=O)N1)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O
1eix/active_4.mol;O[C@@H]1[C@H](O)[C@H](O[C@H]1n1ccc(=O)[nH]c1=O)COP(=O)([O])[O]
1eix/active_5.mol;O[C@@H]1[C@H](O)[C@H](O[C@H]1n1c(O)cc(=O)[nH]c1=O)COP(=O)(O)O
1eix/active_6.mol;O[C@@H]1[C@H](O)[C@H](O[C@H]1n1c[c]c(=O)[nH]c1=O)COP(=O)(O)O.Br.[H]
1eix/active_7.mol;O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cc(F)c(=O)[nH]c1=O)COP(=O)(O)O
1eix/active_8.mol;O[C@@H]1[C@H](O)[C@H](O[C@H]1n1ccc(=O)[nH]c1=O)COP(=O)(O)O
1eix/active_9.mol;O[C@@H]1[C@H](O)[C@H](O[C@H]1n1ncc(=O)[nH]c1=O)COP(=O)(O)O
1eve/active_1.mol;COc1cc2c(cc1OC)C[C@@H](C2=O)CCC1CC[NH](CC1)Cc1ccccc1
1eve/active_10.mol;O=C(c1ccccn1)NCCC1CC[NH](CC1)Cc1ccccc1
1eve/active_11.mol;O=C1N(CCC2CC[NH](CC2)Cc2ccccc2)CCc2c1cccc2
1eve/active_12.mol;O=C1N(CCC2CC[NH](CC2)Cc2ccccc2)CNc2c1cccc2
1eve/active_13.mol;COc1ccc2c(c1)C[C@H](C2=O)CC1CC[NH](CC1)Cc1ccccc1
1eve/active_14.mol;COc1cccc(c1)N(C(=O)C)CCC1CC[NH](CC1)Cc1ccccc1
1eve/active_2.mol;N[C@@H]1NC2=C[CH]c3c(C(=C2N1)C)nc([n]3)N
1eve/active_3.mol;COc1ccc2c(c1)C(=O)N(C2=O)CCC1CC[NH](CC1)Cc1ccccc1
1eve/active_4.mol;O=C1Nc2ccccc2CN1CCC1CC[NH](CC1)Cc1ccccc1
1eve/active_5.mol;COc1ccc(cc1)C(=O)NCCC1CC[NH](CC1)Cc1ccccc1
1eve/active_6.mol;COc1cc(OC)cc2c1C(=O)[C@@H](C2)CC1CC[NH](CC1)Cc1ccccc1
1eve/active_7.mol;COc1cc2c(cc1OC)C[C@H](C2=O)C[NH]1CC[C@H](CC1)Cc1ccccc1
1eve/active_8.mol;Cc1cccc(c1)C[NH]1CCC(CC1)CCN(C(=O)c1ccccc1)C
1eve/active_9.mol;O=C1N(CCC2CC[NH](CC2)Cc2ccccc2)C(=O)c2c1cccc2
1f4g/active_1.mol;[O]C(=O)CCNC(=O)[C@H]1CCCN1S(=O)(=O)c1ccc(cc1)C(=O)N[C@H](C(=O)[O])CCC(=O)[O]
1f4g/active_10.mol;Clc1cc(ccc1O)C1(OC(=O)c2c3c1cccc3ccc2)c1ccc(c(c1)Cl)O
1f4g/active_11.mol;O[C@H]1C[C@@H](O[C@@H]1COP(=O)([O])[O])n1ccc(nc1=O)N
1f4g/active_12.mol;O[C@H]1C[C@@H](O[C@@H]1COP(=O)([O])[O])n1ccc(=O)[nH]c1=O
1f4g/active_13.mol;O[C@H]1C[C@@H](O[C@@H]1COP(=O)([O])[O])n1ccc(nc1=O)N
1f4g/active_14.mol;O[C@H]1C[C@@H](O[C@@H]1COP(=O)([O])[O])n1ccc(=O)[nH]c1=O
