target,ligand,QAS,type,ASVal
1bxo,decoy-122,0,0,-6.55182
1bxo,decoy-125,0,0,-9.19759
1bxo,decoy-146,0,0,-6.28208
1bxo,decoy-166,0,0,-4.87574
1bxo,decoy-181,0,0,-5.98804
1bxo,decoy-191,0,0,-7.47511
1bxo,decoy-199,0,0,-7.70108
1bxo,decoy-203,0,0,-9.43865
1bxo,decoy-206,0,0,-9.02425
1bxo,decoy-228,0,0,-7.03788
1bxo,decoy-234,0,0,-7.26195
1bxo,decoy-253,0,0,-8.62758
1bxo,decoy-27,0,0,-3.90694
1bxo,decoy-270,0,0,-9.7044
1bxo,decoy-271,0,0,-5.69452
1bxo,decoy-275,0,0,-6.37316
1bxo,decoy-277,0,0,-8.6263
1bxo,decoy-281,0,0,-5.01667
1bxo,decoy-282,0,0,-11.0869
1bxo,decoy-29,0,0,-3.2667
1bxo,decoy-295,0,0,-8.82853
1bxo,decoy-301,0,0,-8.85772
1bxo,decoy-313,0,0,-7.85918
1bxo,decoy-341,0,0,-5.71002
1bxo,decoy-345,0,0,-7.00209
1bxo,decoy-347,0,0,-6.44571
1bxo,decoy-390,0,0,-7.37301
1bxo,decoy-394,0,0,-5.25748
1bxo,decoy-438,0,0,-8.29744
1bxo,decoy-442,0,0,-7.68021
1bxo,decoy-457,0,0,-7.28392
1bxo,decoy-463,0,0,-8.67818
1bxo,decoy-473,0,0,-7.66841
1bxo,decoy-486,0,0,-12.1399
1bxo,decoy-492,0,0,-9.83501
1bxo,decoy-497,0,0,-6.93064
1bxo,decoy-500,0,0,-4.78877
1bxo,decoy-506,0,0,-5.88278
1bxo,decoy-529,0,0,-6.21645
1bxo,decoy-536,0,0,-6.61511
1bxo,decoy-553,0,0,-7.72239
1bxo,decoy-562,0,0,-6.77353
1bxo,decoy-565,0,0,-5.69805
1bxo,decoy-589,0,0,-8.6094
1bxo,decoy-596,0,0,-7.36802
1bxo,decoy-613,0,0,-6.98518
1bxo,decoy-622,0,0,-4.23778
1bxo,decoy-623,0,0,-7.08848
1bxo,decoy-63,0,0,-8.19676
1bxo,decoy-642,0,0,-6.55717
1bxo,decoy-663,0,0,-4.90715
1bxo,decoy-678,0,0,-7.20786
1bxo,decoy-684,0,0,-6.0107
1bxo,decoy-694,0,0,-6.99509
1bxo,decoy-696,0,0,-6.83811
1bxo,decoy-701,0,0,-8.68004
1bxo,decoy-742,0,0,-6.89346
1bxo,decoy-769,0,0,0.115526
1bxo,decoy-774,0,0,-6.70566
1bxo,decoy-776,0,0,-5.45364
1bxo,decoy-789,0,0,-6.95476
1bxo,decoy-800,0,0,-7.0915
1bxo,decoy-801,0,0,-7.27452
1bxo,decoy-802,0,0,-7.94522
1bxo,decoy-803,0,0,-5.20565
1bxo,decoy-805,0,0,-6.35812
1bxo,decoy-815,0,0,-9.70387
1bxo,decoy-823,0,0,-9.25956
1bxo,decoy-834,0,0,-6.43999
1bxo,decoy-837,0,0,-8.30332
1bxo,decoy-839,0,0,-5.34241
1bxo,decoy-844,0,0,-7.37135
1bxo,decoy-850,0,0,-7.86698
1bxo,decoy-86,0,0,-1.57949
1bxo,decoy-9,0,0,-2.9124
1bxo,decoy-901,0,0,-9.28096
1bxo,decoy-922,0,0,-8.76946
1bxo,decoy-937,0,0,-7.45017
1bxo,decoy-94,0,0,-7.81164
1bxo,decoy-945,0,0,-6.51067
1bxo,decoy-948,0,0,-6.41187
1bxo,decoy-950,0,0,-8.59245
1bxo,decoy-955,0,0,-10.0732
1bxo,decoy-956,0,0,-8.54188
1bxo,decoy-972,0,0,-1.00009
1bxo,decoy-975,0,0,-6.78236
1bxo,decoy-977,0,0,-8.36384
1bxo,decoy-979,0,0,-7.12722
1bxo,decoy-980,0,0,-6.62565
1bxo,decoy-99,0,0,-6.58186
1bxo,decoy-998,0,0,-6.83406
1c4v,1c4v/active-13,0,1,-11.8012
1c4v,1c4v/active-18,0,1,-12.1174
1c4v,1c4v/active-28,0,1,-13.0451
1c4v,1c4v/active-36,0,1,-10.8182
1c4v,1c4v/active-6,0,1,-11.6712
1c4v,decoy-1012,0,0,-9.86783
1c4v,decoy-1021,0,0,-9.35915
1c4v,decoy-1038,0,0,-9.7851
1c4v,decoy-109,0,0,-8.72366
1c4v,decoy-110,0,0,-9.0292
1c4v,decoy-12,0,0,-7.50407
1c4v,decoy-123,0,0,-6.15605
1c4v,decoy-141,0,0,-8.73094
1c4v,decoy-158,0,0,-11.1474
1c4v,decoy-17,0,0,-8.62932
1c4v,decoy-176,0,0,-7.7205
1c4v,decoy-191,0,0,-9.17253
1c4v,decoy-208,0,0,-10.6689
1c4v,decoy-215,0,0,-7.92303
1c4v,decoy-216,0,0,-6.95175
1c4v,decoy-218,0,0,-8.45998
1c4v,decoy-243,0,0,-7.99447
1c4v,decoy-247,0,0,-11.01
1c4v,decoy-266,0,0,-10.0204
1c4v,decoy-271,0,0,-5.62978
1c4v,decoy-277,0,0,-9.20075
1c4v,decoy-286,0,0,-9.39441
1c4v,decoy-287,0,0,-6.24857
1c4v,decoy-299,0,0,-9.22187
1c4v,decoy-30,0,0,-9.9438
1c4v,decoy-324,0,0,-10.2896
1c4v,decoy-325,0,0,-10.4527
1c4v,decoy-329,0,0,-7.81922
1c4v,decoy-330,0,0,-12.4483
1c4v,decoy-34,0,0,-2.58427
1c4v,decoy-340,0,0,-9.81244
1c4v,decoy-343,0,0,-8.75892
1c4v,decoy-348,0,0,-8.16309
1c4v,decoy-360,0,0,-8.76987
1c4v,decoy-371,0,0,-7.9012
1c4v,decoy-378,0,0,-7.43068
1c4v,decoy-38,0,0,-8.94405
1c4v,decoy-39,0,0,-7.26051
1c4v,decoy-391,0,0,-10.1067
1c4v,decoy-412,0,0,-8.01418
1c4v,decoy-42,0,0,-8.1319
1c4v,decoy-426,0,0,-5.67583
1c4v,decoy-431,0,0,-10.7346
1c4v,decoy-432,0,0,-10.4197
1c4v,decoy-434,0,0,-6.35165
1c4v,decoy-440,0,0,-7.99558
1c4v,decoy-464,0,0,-10.2818
1c4v,decoy-468,0,0,-7.34474
1c4v,decoy-476,0,0,-11.6583
1c4v,decoy-489,0,0,-9.12668
1c4v,decoy-502,0,0,-5.56059
1c4v,decoy-508,0,0,-8.41191
1c4v,decoy-513,0,0,-5.87524
1c4v,decoy-517,0,0,-8.44766
1c4v,decoy-520,0,0,-8.31939
1c4v,decoy-528,0,0,-7.13165
1c4v,decoy-533,0,0,-9.5142
1c4v,decoy-550,0,0,-9.47832
1c4v,decoy-551,0,0,-7.59112
1c4v,decoy-60,0,0,-6.715
1c4v,decoy-635,0,0,-8.00815
1c4v,decoy-64,0,0,-4.1914
1c4v,decoy-641,0,0,-8.09518
1c4v,decoy-656,0,0,-8.74792
1c4v,decoy-658,0,0,-9.15434
1c4v,decoy-664,0,0,-9.55155
1c4v,decoy-678,0,0,-7.0772
1c4v,decoy-685,0,0,-11.4277
1c4v,decoy-686,0,0,-8.10541
1c4v,decoy-693,0,0,-9.93036
1c4v,decoy-701,0,0,-8.75296
1c4v,decoy-704,0,0,-3.26641
1c4v,decoy-710,0,0,-6.93714
1c4v,decoy-719,0,0,-6.8357
1c4v,decoy-722,0,0,-9.19429
1c4v,decoy-733,0,0,-7.4535
1c4v,decoy-744,0,0,-8.98485
1c4v,decoy-760,0,0,-8.50391
1c4v,decoy-766,0,0,-10.5743
1c4v,decoy-771,0,0,-9.39893
1c4v,decoy-774,0,0,-6.42982
1c4v,decoy-781,0,0,-10.0669
1c4v,decoy-792,0,0,-7.72951
1c4v,decoy-801,0,0,-8.01399
1c4v,decoy-809,0,0,-9.41503
1c4v,decoy-815,0,0,-10.6195
1c4v,decoy-823,0,0,-9.03331
1c4v,decoy-829,0,0,-7.27064
1c4v,decoy-83,0,0,-8.46259
1c4v,decoy-830,0,0,-8.20739
1c4v,decoy-861,0,0,-3.4151
1c4v,decoy-863,0,0,-9.41016
1c4v,decoy-873,0,0,-8.3241
1c4v,decoy-883,0,0,-7.46317
1c4v,decoy-889,0,0,-9.80352
1c4v,decoy-91,0,0,-9.63708
1c4v,decoy-915,0,0,-8.00531
1c4v,decoy-928,0,0,-8.30511
1c4v,decoy-93,0,0,-8.0476
1c4v,decoy-931,0,0,-9.873
1c4v,decoy-940,0,0,-8.99911
1c4v,decoy-959,0,0,-6.15044
1c4v,decoy-967,0,0,-8.64172
1c4v,decoy-99,0,0,-6.80122
1c4v,decoy-999,0,0,-7.24979
1c84,decoy-100,0,0,-6.63144
1c84,decoy-1003,0,0,-6.91014
1c84,decoy-1009,0,0,-6.71531
1c84,decoy-1020,0,0,-5.43496
1c84,decoy-1021,0,0,-7.61853
1c84,decoy-1024,0,0,-6.3565
1c84,decoy-1029,0,0,-6.11515
1c84,decoy-103,0,0,-8.07801
1c84,decoy-1045,0,0,-6.47264
1c84,decoy-1047,0,0,-8.03232
1c84,decoy-1048,0,0,-6.20816
1c84,decoy-121,0,0,-3.90994
1c84,decoy-139,0,0,-7.40128
1c84,decoy-145,0,0,-8.30998
1c84,decoy-162,0,0,-7.7175
1c84,decoy-169,0,0,-8.38565
1c84,decoy-175,0,0,-3.8352
1c84,decoy-178,0,0,-7.3633
1c84,decoy-199,0,0,-6.38427
1c84,decoy-200,0,0,-6.4592
1c84,decoy-201,0,0,-5.36946
1c84,decoy-205,0,0,-6.87983
1c84,decoy-215,0,0,-7.95692
1c84,decoy-229,0,0,-9.16407
1c84,decoy-232,0,0,-6.15757
1c84,decoy-237,0,0,-7.6487
1c84,decoy-245,0,0,-6.27009
1c84,decoy-259,0,0,-4.51708
1c84,decoy-269,0,0,-7.06161
1c84,decoy-279,0,0,-6.15564
1c84,decoy-288,0,0,-8.36229
1c84,decoy-289,0,0,-7.44885
1c84,decoy-295,0,0,-8.79238
1c84,decoy-306,0,0,-7.21264
1c84,decoy-316,0,0,-5.50332
1c84,decoy-324,0,0,-9.68482
1c84,decoy-33,0,0,-8.77313
1c84,decoy-336,0,0,-5.1764
1c84,decoy-34,0,0,-3.75032
1c84,decoy-371,0,0,-6.23714
1c84,decoy-379,0,0,-7.93046
1c84,decoy-382,0,0,-5.59696
1c84,decoy-400,0,0,-7.83808
1c84,decoy-404,0,0,-5.48034
1c84,decoy-408,0,0,-5.97811
1c84,decoy-417,0,0,-4.79174
1c84,decoy-426,0,0,-4.37525
1c84,decoy-43,0,0,-6.90116
1c84,decoy-440,0,0,-7.02959
1c84,decoy-443,0,0,-6.49879
1c84,decoy-447,0,0,-6.86003
1c84,decoy-457,0,0,-7.31272
1c84,decoy-47,0,0,-6.10846
1c84,decoy-488,0,0,-8.53754
1c84,decoy-490,0,0,-8.08188
1c84,decoy-50,0,0,-6.0861
1c84,decoy-526,0,0,-6.95072
1c84,decoy-534,0,0,-5.20019
1c84,decoy-535,0,0,-6.44704
1c84,decoy-559,0,0,-6.26475
1c84,decoy-562,0,0,-6.5021
1c84,decoy-566,0,0,-7.08732
1c84,decoy-569,0,0,-7.38315
1c84,decoy-573,0,0,-5.9548
1c84,decoy-583,0,0,-3.74332
1c84,decoy-591,0,0,-5.20005
1c84,decoy-616,0,0,-5.36776
1c84,decoy-62,0,0,-7.65445
1c84,decoy-636,0,0,-6.56702
1c84,decoy-648,0,0,-7.09647
1c84,decoy-658,0,0,-8.42706
1c84,decoy-662,0,0,-6.27019
1c84,decoy-681,0,0,-6.0322
1c84,decoy-695,0,0,-8.02025
1c84,decoy-701,0,0,-7.91027
1c84,decoy-708,0,0,-7.5632
1c84,decoy-714,0,0,-3.00325
1c84,decoy-716,0,0,-5.82325
1c84,decoy-72,0,0,-6.60447
1c84,decoy-728,0,0,-4.74082
1c84,decoy-736,0,0,-4.94869
1c84,decoy-742,0,0,-7.38664
1c84,decoy-750,0,0,-6.23604
1c84,decoy-763,0,0,-6.43955
1c84,decoy-771,0,0,-9.96476
1c84,decoy-781,0,0,-8.6539
1c84,decoy-783,0,0,-5.26036
1c84,decoy-817,0,0,-6.53149
1c84,decoy-820,0,0,-8.62363
1c84,decoy-822,0,0,-6.32116
1c84,decoy-825,0,0,-8.36509
1c84,decoy-865,0,0,-8.64382
1c84,decoy-866,0,0,-7.63364
1c84,decoy-869,0,0,-7.74206
1c84,decoy-89,0,0,-6.81134
1c84,decoy-899,0,0,-6.60905
1c84,decoy-92,0,0,-6.04168
1c84,decoy-922,0,0,-8.08541
1c84,decoy-923,0,0,-6.31414
1c84,decoy-929,0,0,-6.7461
1c84,decoy-930,0,0,-9.86968
1c84,decoy-935,0,0,-7.19752
1c84,decoy-937,0,0,-6.40706
1c84,decoy-948,0,0,-6.18415
1c84,decoy-964,0,0,-6.70742
1c84,decoy-975,0,0,-6.53578
1c84,decoy-985,0,0,-7.38196
1c84,decoy-989,0,0,-4.39013
1cx2,1cx2/active-25,0,1,-10.2099
1cx2,1cx2/active-27,0,1,-9.59929
1cx2,1cx2/active-28,0,1,-10.8569
1cx2,1cx2/active-42,0,1,-8.86098
1cx2,1cx2/active-45,0,1,-11.187
1cx2,decoy-1003,0,0,-8.61866
1cx2,decoy-1012,0,0,-11.0765
1cx2,decoy-1023,0,0,-10.4166
1cx2,decoy-1025,0,0,-13.928
1cx2,decoy-1044,0,0,-7.97904
1cx2,decoy-1046,0,0,-9.46252
1cx2,decoy-1049,0,0,-10.7856
1cx2,decoy-1051,0,0,-6.03818
1cx2,decoy-1053,0,0,-9.31872
1cx2,decoy-1054,0,0,-6.97635
1cx2,decoy-1060,0,0,-8.29323
1cx2,decoy-1062,0,0,-8.68265
1cx2,decoy-127,0,0,-7.79913
1cx2,decoy-129,0,0,-10.9718
1cx2,decoy-131,0,0,-9.48056
1cx2,decoy-147,0,0,-10.1068
1cx2,decoy-151,0,0,-5.86598
1cx2,decoy-152,0,0,-5.43656
1cx2,decoy-160,0,0,-9.00484
1cx2,decoy-179,0,0,-11.1517
1cx2,decoy-18,0,0,-6.44227
1cx2,decoy-185,0,0,-10.172
1cx2,decoy-190,0,0,-10.1884
1cx2,decoy-202,0,0,-10.2169
1cx2,decoy-203,0,0,-11.9906
1cx2,decoy-211,0,0,-8.31219
1cx2,decoy-212,0,0,-3.31647
1cx2,decoy-232,0,0,-10.5643
1cx2,decoy-252,0,0,-6.72551
1cx2,decoy-262,0,0,-8.5901
1cx2,decoy-275,0,0,-3.94068
1cx2,decoy-319,0,0,-9.27672
1cx2,decoy-338,0,0,-9.49873
1cx2,decoy-340,0,0,-10.4804
1cx2,decoy-350,0,0,-8.41784
1cx2,decoy-362,0,0,-10.4258
1cx2,decoy-384,0,0,-8.62706
1cx2,decoy-387,0,0,-3.0877
1cx2,decoy-404,0,0,-6.69139
1cx2,decoy-414,0,0,-7.91608
1cx2,decoy-417,0,0,-7.44435
1cx2,decoy-418,0,0,-9.02672
1cx2,decoy-419,0,0,-9.86526
1cx2,decoy-426,0,0,-6.51857
1cx2,decoy-436,0,0,-11.8545
1cx2,decoy-445,0,0,-12.7234
1cx2,decoy-446,0,0,-11.9366
1cx2,decoy-463,0,0,-10.9135
1cx2,decoy-471,0,0,-6.0531
1cx2,decoy-501,0,0,-8.73529
1cx2,decoy-502,0,0,-6.0791
1cx2,decoy-51,0,0,-9.35061
1cx2,decoy-511,0,0,-11.8421
1cx2,decoy-524,0,0,-9.11158
1cx2,decoy-525,0,0,-10.5376
1cx2,decoy-537,0,0,-10.7589
1cx2,decoy-544,0,0,-8.73052
1cx2,decoy-553,0,0,-7.21421
1cx2,decoy-554,0,0,-9.67378
1cx2,decoy-557,0,0,-6.3628
1cx2,decoy-565,0,0,-5.61942
1cx2,decoy-594,0,0,-12.7407
1cx2,decoy-609,0,0,-8.02897
1cx2,decoy-610,0,0,-9.73222
1cx2,decoy-614,0,0,-8.19504
1cx2,decoy-617,0,0,-7.33624
1cx2,decoy-63,0,0,-8.84348
1cx2,decoy-633,0,0,-10.0774
1cx2,decoy-640,0,0,-9.58958
1cx2,decoy-641,0,0,-9.32636
1cx2,decoy-642,0,0,-7.70907
1cx2,decoy-657,0,0,0.622747
1cx2,decoy-66,0,0,-8.08706
1cx2,decoy-677,0,0,-12.876
1cx2,decoy-727,0,0,-10.5199
1cx2,decoy-744,0,0,-8.92387
1cx2,decoy-789,0,0,-8.91208
1cx2,decoy-79,0,0,-10.5741
1cx2,decoy-802,0,0,-7.65024
1cx2,decoy-805,0,0,-8.08139
1cx2,decoy-806,0,0,-8.14763
1cx2,decoy-807,0,0,-7.87176
1cx2,decoy-817,0,0,-7.97525
1cx2,decoy-820,0,0,-10.8391
1cx2,decoy-833,0,0,-9.08261
1cx2,decoy-838,0,0,4.00939
1cx2,decoy-857,0,0,-7.42958
1cx2,decoy-873,0,0,-9.03967
1cx2,decoy-875,0,0,-10.9496
1cx2,decoy-88,0,0,-5.22978
1cx2,decoy-880,0,0,-10.816
1cx2,decoy-886,0,0,-6.71327
1cx2,decoy-89,0,0,-8.4716
1cx2,decoy-908,0,0,-6.19118
1cx2,decoy-919,0,0,-9.98241
1cx2,decoy-929,0,0,-6.71406
1cx2,decoy-936,0,0,-5.84293
1cx2,decoy-937,0,0,-8.61583
1cx2,decoy-949,0,0,-12.2269
1cx2,decoy-956,0,0,-11.3581
1cx2,decoy-958,0,0,-9.80316
1cx2,decoy-959,0,0,-7.92146
1cx2,decoy-991,0,0,-9.18876
1cx2,decoy-996,0,0,-11.2188
1e66,1e66/active-6,0,1,-8.953
1e66,1e66/active-8,0,1,-9.18959
1e66,decoy-1,0,0,-6.69959
1e66,decoy-1005,0,0,-6.18129
1e66,decoy-1009,0,0,-9.78128
1e66,decoy-1012,0,0,-10.0047
1e66,decoy-1013,0,0,-9.96672
1e66,decoy-1027,0,0,5.53844
1e66,decoy-1033,0,0,-5.0854
1e66,decoy-1047,0,0,-9.42722
1e66,decoy-105,0,0,-6.73463
1e66,decoy-1052,0,0,-10.8412
1e66,decoy-111,0,0,-8.67431
1e66,decoy-135,0,0,-7.92075
1e66,decoy-147,0,0,-10.7028
1e66,decoy-158,0,0,-8.87402
1e66,decoy-160,0,0,-9.40535
1e66,decoy-162,0,0,-10.0578
1e66,decoy-174,0,0,-7.13334
1e66,decoy-178,0,0,-8.90757
1e66,decoy-179,0,0,-11.1855
1e66,decoy-191,0,0,-10.0693
1e66,decoy-2,0,0,-8.38008
1e66,decoy-201,0,0,-7.72978
1e66,decoy-206,0,0,-9.3724
1e66,decoy-212,0,0,12.2122
1e66,decoy-215,0,0,-9.30115
1e66,decoy-22,0,0,-10.3486
1e66,decoy-221,0,0,-11.1111
1e66,decoy-226,0,0,-3.90053
1e66,decoy-235,0,0,-8.61954
1e66,decoy-250,0,0,-8.92555
1e66,decoy-253,0,0,-11.1112
1e66,decoy-264,0,0,-10.2277
1e66,decoy-275,0,0,-4.16125
1e66,decoy-287,0,0,-6.72214
1e66,decoy-299,0,0,-9.82597
1e66,decoy-311,0,0,-8.18063
1e66,decoy-32,0,0,-9.25684
1e66,decoy-332,0,0,-9.80887
1e66,decoy-339,0,0,-10.0744
1e66,decoy-344,0,0,-6.06503
1e66,decoy-345,0,0,-7.73363
1e66,decoy-349,0,0,-9.74334
1e66,decoy-377,0,0,-7.79214
1e66,decoy-378,0,0,-6.8671
1e66,decoy-393,0,0,-10.6628
1e66,decoy-413,0,0,-9.85612
1e66,decoy-444,0,0,-8.37537
1e66,decoy-447,0,0,-8.1075
1e66,decoy-458,0,0,-7.2475
1e66,decoy-46,0,0,-9.4844
1e66,decoy-474,0,0,-8.78327
1e66,decoy-489,0,0,-9.88295
1e66,decoy-500,0,0,-6.41566
1e66,decoy-507,0,0,-9.31622
1e66,decoy-509,0,0,-6.02001
1e66,decoy-510,0,0,-8.18609
1e66,decoy-512,0,0,54.3166
1e66,decoy-521,0,0,-9.69321
1e66,decoy-523,0,0,-7.34681
1e66,decoy-524,0,0,-8.39888
1e66,decoy-528,0,0,-7.48257
1e66,decoy-531,0,0,-9.77318
1e66,decoy-534,0,0,-7.78116
1e66,decoy-540,0,0,-8.17944
1e66,decoy-559,0,0,-9.62972
1e66,decoy-563,0,0,-9.68661
1e66,decoy-573,0,0,-7.47503
1e66,decoy-574,0,0,-10.3239
1e66,decoy-575,0,0,-10.3419
1e66,decoy-579,0,0,-8.59789
1e66,decoy-593,0,0,-7.81706
1e66,decoy-600,0,0,-8.84498
1e66,decoy-602,0,0,-9.09543
1e66,decoy-609,0,0,-7.76025
1e66,decoy-611,0,0,-5.09271
1e66,decoy-620,0,0,-4.75698
1e66,decoy-639,0,0,-8.1655
1e66,decoy-659,0,0,-8.18181
1e66,decoy-670,0,0,-7.4925
1e66,decoy-671,0,0,-3.62133
1e66,decoy-675,0,0,178.309
1e66,decoy-693,0,0,-12.4211
1e66,decoy-695,0,0,-7.95314
1e66,decoy-721,0,0,-10.0772
1e66,decoy-734,0,0,-8.6513
1e66,decoy-737,0,0,-10.5624
1e66,decoy-747,0,0,-11.4061
1e66,decoy-759,0,0,-8.99279
1e66,decoy-773,0,0,-8.64445
1e66,decoy-776,0,0,-7.1043
1e66,decoy-789,0,0,-8.59098
1e66,decoy-79,0,0,-10.0991
1e66,decoy-797,0,0,-7.82251
1e66,decoy-799,0,0,-9.79099
1e66,decoy-8,0,0,-8.0013
1e66,decoy-827,0,0,-5.59867
1e66,decoy-833,0,0,-8.1251
1e66,decoy-834,0,0,-8.34783
1e66,decoy-850,0,0,-9.37561
1e66,decoy-895,0,0,-9.85214
1e66,decoy-91,0,0,-10.8718
1e66,decoy-914,0,0,-10.86
1e66,decoy-918,0,0,-7.19228
1e66,decoy-947,0,0,-8.11188
1e66,decoy-958,0,0,-9.7365
1e66,decoy-960,0,0,-8.0893
1e66,decoy-965,0,0,-3.3197
1e66,decoy-967,0,0,-9.32533
1e66,decoy-980,0,0,-6.29166
1e66,decoy-987,0,0,-8.05313
1e66,decoy-994,0,0,-10.5145
1e66,decoy-995,0,0,-2.06616
1efy,decoy-1000,0,0,-4.87774
1efy,decoy-1003,0,0,-7.61026
1efy,decoy-1004,0,0,-11.344
1efy,decoy-1012,0,0,-10.5301
1efy,decoy-1015,0,0,-9.25129
1efy,decoy-1016,0,0,-8.32857
1efy,decoy-1032,0,0,-9.97304
1efy,decoy-104,0,0,-11.3354
1efy,decoy-1041,0,0,-8.36906
1efy,decoy-1045,0,0,-8.48457
1efy,decoy-1047,0,0,-8.18591
1efy,decoy-1051,0,0,-5.29153
1efy,decoy-106,0,0,-8.17446
1efy,decoy-108,0,0,-6.58121
1efy,decoy-110,0,0,-8.97787
1efy,decoy-131,0,0,-8.00713
